id,name,hamletId,officialOrder
anambra_ihiala_okija_ihitea_bu_ihite_ubahumonum_ubahumonum_umuezim_umuagu_umu_ezechukwu,Umu - Ezechukwu,anambra_ihiala_okija_ihitea_bu_ihite_ubahumonum_ubahumonum_umuezim_umuagu,2
anambra_ihiala_okija_ihitea_bu_ihite_ubahumonum_ubahumonum_umuezim_umuagu_umu_okpok0,Umu - Okpok0,anambra_ihiala_okija_ihitea_bu_ihite_ubahumonum_ubahumonum_umuezim_umuagu,3
anambra_ihiala_okija_ihitea_bu_ihite_ubahumonum_ubahumonum_umuezim_umuagu_umu_omenu,Umu - Omenu,anambra_ihiala_okija_ihitea_bu_ihite_ubahumonum_ubahumonum_umuezim_umuagu,4
anambra_ihiala_okija_ihitea_bu_ihite_ubahumonum_ubahumonum_umuezim_umuagu_umu_ezejiaku,Umu - Ezejiaku,anambra_ihiala_okija_ihitea_bu_ihite_ubahumonum_ubahumonum_umuezim_umuagu,5
anambra_ihiala_okija_ihitea_bu_ihite_ubahumonum_ubahumonum_umuezim_umuagu_umu_nworie,Umu - Nworie,anambra_ihiala_okija_ihitea_bu_ihite_ubahumonum_ubahumonum_umuezim_umuagu,6
anambra_ihiala_okija_ihitea_bu_ihite_isieke_ubahu_udara_isieke_isieke_ezengu_umuntado,Umuntado,anambra_ihiala_okija_ihitea_bu_ihite_isieke_ubahu_udara_isieke_isieke_ezengu,1
anambra_ihiala_okija_ihitea_bu_ihite_isieke_ubahu_udara_isieke_isieke_ezengu_dukuihiemeke,Dukuihiemeke,anambra_ihiala_okija_ihitea_bu_ihite_isieke_ubahu_udara_isieke_isieke_ezengu,2
anambra_ihiala_okija_ihitea_bu_ihite_isieke_ubahu_udara_isieke_isieke_ezengu_umudeohimili,Umudeohimili,anambra_ihiala_okija_ihitea_bu_ihite_isieke_ubahu_udara_isieke_isieke_ezengu,3
anambra_ihiala_okija_ihitea_bu_ihite_isieke_ubahu_udara_isieke_isieke_ndukaihim_umunwaonu,Umunwaonu,anambra_ihiala_okija_ihitea_bu_ihite_isieke_ubahu_udara_isieke_isieke_ndukaihim,1
anambra_ihiala_okija_ihitea_bu_ihite_isieke_ubahu_udara_isieke_isieke_ndukaihim_orji,Orji,anambra_ihiala_okija_ihitea_bu_ihite_isieke_ubahu_udara_isieke_isieke_ndukaihim,2
anambra_ihiala_okija_ihitea_bu_ihite_isieke_ubahu_udara_isieke_isieke_ndukaihim_umudike_okonkwo,Umudike Okonkwo,anambra_ihiala_okija_ihitea_bu_ihite_isieke_ubahu_udara_isieke_isieke_ndukaihim,3
anambra_ihiala_okija_ihitea_bu_ihite_isieke_ubahu_udara_isieke_isieke_umunaka_umuntado,Umuntado,anambra_ihiala_okija_ihitea_bu_ihite_isieke_ubahu_udara_isieke_isieke_umunaka,1
anambra_ihiala_okija_ihitea_bu_ihite_isieke_ubahu_udara_isieke_isieke_umunaka_umunaono,Umunaono,anambra_ihiala_okija_ihitea_bu_ihite_isieke_ubahu_udara_isieke_isieke_umunaka,2
anambra_ihiala_okija_ihitea_bu_ihite_isieke_ubahu_udara_isieke_isieke_umunaka_umuezereiwu,Umuezereiwu,anambra_ihiala_okija_ihitea_bu_ihite_isieke_ubahu_udara_isieke_isieke_umunaka,3
anambra_ihiala_okija_ihitea_bu_ihite_isieke_ubahu_udara_isieke_isieke_umuduru_durunzomiwu,Durunzomiwu,anambra_ihiala_okija_ihitea_bu_ihite_isieke_ubahu_udara_isieke_isieke_umuduru,1
anambra_ihiala_okija_ihitea_bu_ihite_isieke_ubahu_udara_isieke_isieke_umuduru_umudimbaji,Umudimbaji,anambra_ihiala_okija_ihitea_bu_ihite_isieke_ubahu_udara_isieke_isieke_umuduru,2
anambra_ihiala_okija_ihitea_bu_ihite_isieke_ubahu_udara_isieke_isieke_amaorie_amaorie,Amaorie,anambra_ihiala_okija_ihitea_bu_ihite_isieke_ubahu_udara_isieke_isieke_amaorie,1
anambra_ihiala_okija_ihitea_bu_ihite_isieke_ubahu_udara_ubahu_udara_ubahu_udara_umu_mogo_umuogbuehi,Umuogbuehi,anambra_ihiala_okija_ihitea_bu_ihite_isieke_ubahu_udara_ubahu_udara_ubahu_udara_umu_mogo,1
anambra_ihiala_okija_ihitea_bu_ihite_isieke_ubahu_udara_ubahu_udara_ubahu_udara_umu_mogo_umunzurumike,Umunzurumike,anambra_ihiala_okija_ihitea_bu_ihite_isieke_ubahu_udara_ubahu_udara_ubahu_udara_umu_mogo,2
anambra_ihiala_okija_ihitea_bu_ihite_isieke_ubahu_udara_ubahu_udara_ubahu_udara_umuojigwe_umuonyegaraeme,Umuonyegaraeme,anambra_ihiala_okija_ihitea_bu_ihite_isieke_ubahu_udara_ubahu_udara_ubahu_udara_umuojigwe,1
anambra_ihiala_okija_ihitea_bu_ihite_isieke_ubahu_udara_ubahu_udara_ubahu_udara_umuojigwe_umunkaagba,Umunkaagba,anambra_ihiala_okija_ihitea_bu_ihite_isieke_ubahu_udara_ubahu_udara_ubahu_udara_umuojigwe,2
anambra_ihiala_okija_ihitea_bu_ihite_isieke_ubahu_udara_ubahu_udara_ubahu_udara_umudurunonye_umu_ugochukwu,Umu - Ugochukwu,anambra_ihiala_okija_ihitea_bu_ihite_isieke_ubahu_udara_ubahu_udara_ubahu_udara_umudurunonye,1
anambra_ihiala_okija_ihitea_bu_ihite_isieke_ubahu_udara_ubahu_udara_ubahu_udara_umudurunonye_umuadinnu,Umuadinnu,anambra_ihiala_okija_ihitea_bu_ihite_isieke_ubahu_udara_ubahu_udara_ubahu_udara_umudurunonye,2
anambra_ihiala_okija_ihitea_bu_ihite_isieke_ubahu_udara_ubahu_udara_ubahu_udara_umuezeahize_umuabubogwu,Umuabubogwu,anambra_ihiala_okija_ihitea_bu_ihite_isieke_ubahu_udara_ubahu_udara_ubahu_udara_umuezeahize,1
anambra_ihiala_okija_ihitea_bu_ihite_isieke_ubahu_udara_ubahu_udara_ubahu_udara_umuezeahize_umuogbuagu,Umuogbuagu,anambra_ihiala_okija_ihitea_bu_ihite_isieke_ubahu_udara_ubahu_udara_ubahu_udara_umuezeahize,2
anambra_ihiala_okija_uhu0b0_na_uhuowelle_uhuowelle_oghalaegbu_umuezejiaku_umuezeriobi_umumadunato,Umumadunato,anambra_ihiala_okija_uhu0b0_na_uhuowelle_uhuowelle_oghalaegbu_umuezejiaku_umuezeriobi,1
anambra_ihiala_okija_uhu0b0_na_uhuowelle_uhuowelle_oghalaegbu_umuezejiaku_umuezeriobi_umuobiriuno,Umuobiriuno,anambra_ihiala_okija_uhu0b0_na_uhuowelle_uhuowelle_oghalaegbu_umuezejiaku_umuezeriobi,2
anambra_ihiala_okija_uhu0b0_na_uhuowelle_uhuowelle_oghalaegbu_umuezejiaku_umuezeriobi_umuorum,Umuorum,anambra_ihiala_okija_uhu0b0_na_uhuowelle_uhuowelle_oghalaegbu_umuezejiaku_umuezeriobi,3
anambra_ihiala_okija_uhu0b0_na_uhuowelle_uhuowelle_oghalaegbu_umuezejiaku_umuezeriobi_umuidiekebuo,Umuidiekebuo,anambra_ihiala_okija_uhu0b0_na_uhuowelle_uhuowelle_oghalaegbu_umuezejiaku_umuezeriobi,4
anambra_ihiala_okija_uhu0b0_na_uhuowelle_uhuowelle_oghalaegbu_umuezejiaku_umuezeihebiri_umuezenebighi,Umuezenebighi,anambra_ihiala_okija_uhu0b0_na_uhuowelle_uhuowelle_oghalaegbu_umuezejiaku_umuezeihebiri,1
anambra_ihiala_okija_uhu0b0_na_uhuowelle_uhuowelle_oghalaegbu_umuezejiaku_umuezeihebiri_umuobi,Umuobi,anambra_ihiala_okija_uhu0b0_na_uhuowelle_uhuowelle_oghalaegbu_umuezejiaku_umuezeihebiri,2
anambra_ihiala_okija_uhu0b0_na_uhuowelle_uhuowelle_oghalaegbu_umuezejiaku_umuezeihebiri_umuanamasonye,Umuanamasonye,anambra_ihiala_okija_uhu0b0_na_uhuowelle_uhuowelle_oghalaegbu_umuezejiaku_umuezeihebiri,3
anambra_ihiala_okija_uhu0b0_na_uhuowelle_uhuowelle_oghalaegbu_umunaforojoro_umuokparaizu_umuokpaizu,Umuokpaizu,anambra_ihiala_okija_uhu0b0_na_uhuowelle_uhuowelle_oghalaegbu_umunaforojoro_umuokparaizu,1
anambra_ihiala_okija_uhu0b0_na_uhuowelle_uhuowelle_oghalaegbu_umunaforojoro_umuokaraiwuanyi_umuokaraiwuanyi,Umuokaraiwuanyi,anambra_ihiala_okija_uhu0b0_na_uhuowelle_uhuowelle_oghalaegbu_umunaforojoro_umuokaraiwuanyi,1
anambra_ihiala_okija_uhu0b0_na_uhuowelle_uhuowelle_oghalaegbu_umuokparaezike_umujuokwu_umujiokwu,Umujiokwu,anambra_ihiala_okija_uhu0b0_na_uhuowelle_uhuowelle_oghalaegbu_umuokparaezike_umujuokwu,1
anambra_ihiala_okija_uhu0b0_na_uhuowelle_uhuowelle_oghalaegbu_umuokparaezike_umuokparadoro_umuokparadoro,Umuokparadoro,anambra_ihiala_okija_uhu0b0_na_uhuowelle_uhuowelle_oghalaegbu_umuokparaezike_umuokparadoro,1
anambra_ihiala_okija_uhu0b0_na_uhuowelle_uhuowelle_oghalaegbu_umuokparaezike_umummirika_umummirika,Umummirika,anambra_ihiala_okija_uhu0b0_na_uhuowelle_uhuowelle_oghalaegbu_umuokparaezike_umummirika,1
