admin_level_2_id,admin_level_2_name,admin_level_1_id,country_id
ADM2_CAN_NEW_BRUNSWICK_GLOUCESTER,Gloucester,ADM1_CAN_NEW_BRUNSWICK,CT_CAN
ADM2_CAN_NEW_BRUNSWICK_NORTHUMBERLAND,Northumberland,ADM1_CAN_NEW_BRUNSWICK,CT_CAN
ADM2_CAN_NEW_BRUNSWICK_SAINT_JOHN,Saint John,ADM1_CAN_NEW_BRUNSWICK,CT_CAN
ADM2_CAN_NEW_BRUNSWICK_WESTMORLAND,Westmorland,ADM1_CAN_NEW_BRUNSWICK,CT_CAN
ADM2_CAN_NEW_BRUNSWICK_YORK,York,ADM1_CAN_NEW_BRUNSWICK,CT_CAN
ADM2_CAN_NOVA_SCOTIA_CAPE_BRETON,Cape Breton,ADM1_CAN_NOVA_SCOTIA,CT_CAN
ADM2_CAN_NOVA_SCOTIA_COLCHESTER,Colchester,ADM1_CAN_NOVA_SCOTIA,CT_CAN
ADM2_CAN_NOVA_SCOTIA_HALIFAX,Halifax,ADM1_CAN_NOVA_SCOTIA,CT_CAN
ADM2_CAN_NOVA_SCOTIA_KINGS,Kings,ADM1_CAN_NOVA_SCOTIA,CT_CAN
ADM2_CAN_ONTARIO_DURHAM,Durham,ADM1_CAN_ONTARIO,CT_CAN
ADM2_CAN_ONTARIO_ESSEX,Essex,ADM1_CAN_ONTARIO,CT_CAN
ADM2_CAN_ONTARIO_HALTON,Halton,ADM1_CAN_ONTARIO,CT_CAN
ADM2_CAN_ONTARIO_HAMILTON,Hamilton,ADM1_CAN_ONTARIO,CT_CAN
ADM2_CAN_ONTARIO_MIDDLESEX,Middlesex,ADM1_CAN_ONTARIO,CT_CAN
ADM2_CAN_ONTARIO_OTTAWA,Ottawa,ADM1_CAN_ONTARIO,CT_CAN
ADM2_CAN_ONTARIO_PEEL,Peel,ADM1_CAN_ONTARIO,CT_CAN
ADM2_CAN_ONTARIO_TORONTO,Toronto,ADM1_CAN_ONTARIO,CT_CAN
ADM2_CAN_ONTARIO_WATERLOO,Waterloo,ADM1_CAN_ONTARIO,CT_CAN
ADM2_CAN_ONTARIO_YORK,York,ADM1_CAN_ONTARIO,CT_CAN
ADM2_CAN_QUEBEC_GATINEAU,Gatineau,ADM1_CAN_QUEBEC,CT_CAN
ADM2_CAN_QUEBEC_LAVAL,Laval,ADM1_CAN_QUEBEC,CT_CAN
ADM2_CAN_QUEBEC_LONGUEUIL,Longueuil,ADM1_CAN_QUEBEC,CT_CAN
ADM2_CAN_QUEBEC_MONTREAL,Montréal,ADM1_CAN_QUEBEC,CT_CAN
ADM2_CAN_QUEBEC_QUEBEC,Québec,ADM1_CAN_QUEBEC,CT_CAN
ADM2_CAN_QUEBEC_SHERBROOKE,Sherbrooke,ADM1_CAN_QUEBEC,CT_CAN
ADM2_CAN_QUEBEC_TROIS_RIVIERES,Trois-Rivières,ADM1_CAN_QUEBEC,CT_CAN
ADM2_CMR_DJEREM,Djérem,ADM1_CMR_ADAMAWA,CT_CMR
ADM2_CMR_FARO_ET_DEO,Faro-et-Déo,ADM1_CMR_ADAMAWA,CT_CMR
ADM2_CMR_MAYO_BANYO,Mayo-Banyo,ADM1_CMR_ADAMAWA,CT_CMR
ADM2_CMR_MBERE,Mbéré,ADM1_CMR_ADAMAWA,CT_CMR
ADM2_CMR_VINA,Vina,ADM1_CMR_ADAMAWA,CT_CMR
ADM2_CMR_HAUTE_SANAGA,Haute-Sanaga,ADM1_CMR_CENTRE,CT_CMR
ADM2_CMR_LEKIE,Lekié,ADM1_CMR_CENTRE,CT_CMR
ADM2_CMR_MBAM_ET_INOUBOU,Mbam-et-Inoubou,ADM1_CMR_CENTRE,CT_CMR
ADM2_CMR_MBAM_ET_KIM,Mbam-et-Kim,ADM1_CMR_CENTRE,CT_CMR
ADM2_CMR_MFOUNDI,Mfoundi,ADM1_CMR_CENTRE,CT_CMR
ADM2_CMR_MEFOU_ET_AFAMBA,Méfou-et-Afamba,ADM1_CMR_CENTRE,CT_CMR
ADM2_CMR_MEFOU_ET_AKONO,Méfou-et-Akono,ADM1_CMR_CENTRE,CT_CMR
ADM2_CMR_NYONG_ET_KELLE,Nyong-et-Kéllé,ADM1_CMR_CENTRE,CT_CMR
ADM2_CMR_NYONG_ET_MFOUMOU,Nyong-et-Mfoumou,ADM1_CMR_CENTRE,CT_CMR
ADM2_CMR_NYONG_ET_SOO,Nyong-et-So'o,ADM1_CMR_CENTRE,CT_CMR
ADM2_CMR_BOUMBA_ET_NGOKO,Boumba-et-Ngoko,ADM1_CMR_EAST,CT_CMR
ADM2_CMR_HAUT_NYONG,Haut-Nyong,ADM1_CMR_EAST,CT_CMR
ADM2_CMR_KADEY,Kadey,ADM1_CMR_EAST,CT_CMR
ADM2_CMR_LOM_ET_DJEREM,Lom-et-Djerem,ADM1_CMR_EAST,CT_CMR
ADM2_CMR_DIAMARE,Diamaré,ADM1_CMR_FAR_NORTH,CT_CMR
ADM2_CMR_LOGONE_ET_CHARI,Logone-et-Chari,ADM1_CMR_FAR_NORTH,CT_CMR
ADM2_CMR_MAYO_DANAY,Mayo-Danay,ADM1_CMR_FAR_NORTH,CT_CMR
ADM2_CMR_MAYO_KANI,Mayo-Kani,ADM1_CMR_FAR_NORTH,CT_CMR
ADM2_CMR_MAYO_SAVA,Mayo-Sava,ADM1_CMR_FAR_NORTH,CT_CMR
ADM2_CMR_MAYO_TSANAGA,Mayo-Tsanaga,ADM1_CMR_FAR_NORTH,CT_CMR
ADM2_CMR_MOUNGO,Moungo,ADM1_CMR_LITTORAL,CT_CMR
ADM2_CMR_NKAM,Nkam,ADM1_CMR_LITTORAL,CT_CMR
ADM2_CMR_SANAGA_MARITIME,Sanaga-Maritime,ADM1_CMR_LITTORAL,CT_CMR
ADM2_CMR_WOURI,Wouri,ADM1_CMR_LITTORAL,CT_CMR
ADM2_CMR_BENOUE,Bénoué,ADM1_CMR_NORTH,CT_CMR
ADM2_CMR_FARO,Faro,ADM1_CMR_NORTH,CT_CMR
ADM2_CMR_MAYO_LOUTI,Mayo-Louti,ADM1_CMR_NORTH,CT_CMR
ADM2_CMR_MAYO_REY,Mayo-Rey,ADM1_CMR_NORTH,CT_CMR
ADM2_CMR_BOYO,Boyo,ADM1_CMR_NORTHWEST,CT_CMR
ADM2_CMR_BUI,Bui,ADM1_CMR_NORTHWEST,CT_CMR
ADM2_CMR_DONGA_MANTUNG,Donga-Mantung,ADM1_CMR_NORTHWEST,CT_CMR
ADM2_CMR_MENCHUM,Menchum,ADM1_CMR_NORTHWEST,CT_CMR
ADM2_CMR_MEZAM,Mezam,ADM1_CMR_NORTHWEST,CT_CMR
ADM2_CMR_MOMO,Momo,ADM1_CMR_NORTHWEST,CT_CMR
ADM2_CMR_NGO_KETUNJIA,Ngo-ketunjia,ADM1_CMR_NORTHWEST,CT_CMR
ADM2_CMR_DJA_ET_LOBO,Dja-et-Lobo,ADM1_CMR_SOUTH,CT_CMR
ADM2_CMR_MVILA,Mvila,ADM1_CMR_SOUTH,CT_CMR
ADM2_CMR_OCEAN,Océan,ADM1_CMR_SOUTH,CT_CMR
ADM2_CMR_VALLEE_DU_NTEM,Vallée-du-Ntem,ADM1_CMR_SOUTH,CT_CMR
ADM2_CMR_FAKO,Fako,ADM1_CMR_SOUTHWEST,CT_CMR
ADM2_CMR_KOUPE_MANENGOUBA,Koupé-Manengouba,ADM1_CMR_SOUTHWEST,CT_CMR
ADM2_CMR_LEBIALEM,Lebialem,ADM1_CMR_SOUTHWEST,CT_CMR
ADM2_CMR_MANYU,Manyu,ADM1_CMR_SOUTHWEST,CT_CMR
ADM2_CMR_MEME,Meme,ADM1_CMR_SOUTHWEST,CT_CMR
ADM2_CMR_NDIAN,Ndian,ADM1_CMR_SOUTHWEST,CT_CMR
ADM2_CMR_BAMBOUTOS,Bamboutos,ADM1_CMR_WEST,CT_CMR
ADM2_CMR_HAUT_NKAM,Haut-Nkam,ADM1_CMR_WEST,CT_CMR
ADM2_CMR_HAUTS_PLATEAUX,Hauts-Plateaux,ADM1_CMR_WEST,CT_CMR
ADM2_CMR_KOUNG_KHI,Koung-Khi,ADM1_CMR_WEST,CT_CMR
ADM2_CMR_MENOUA,Menoua,ADM1_CMR_WEST,CT_CMR
ADM2_CMR_MIFI,Mifi,ADM1_CMR_WEST,CT_CMR
ADM2_CMR_NDE,Ndé,ADM1_CMR_WEST,CT_CMR
ADM2_CMR_NOUN,Noun,ADM1_CMR_WEST,CT_CMR
ADM2_CUB_ARTEMISA_ALQUIZAR,Alquízar,ADM1_CUB_ARTEMISA,CT_CUB
ADM2_CUB_ARTEMISA_ARTEMISA,Artemisa,ADM1_CUB_ARTEMISA,CT_CUB
ADM2_CUB_ARTEMISA_BAHIA_HONDA,Bahía Honda,ADM1_CUB_ARTEMISA,CT_CUB
ADM2_CUB_ARTEMISA_BAUTA,Bauta,ADM1_CUB_ARTEMISA,CT_CUB
ADM2_CUB_ARTEMISA_CAIMITO,Caimito,ADM1_CUB_ARTEMISA,CT_CUB
ADM2_CUB_ARTEMISA_CANDELARIA,Candelaria,ADM1_CUB_ARTEMISA,CT_CUB
ADM2_CUB_ARTEMISA_GUANAJAY,Guanajay,ADM1_CUB_ARTEMISA,CT_CUB
ADM2_CUB_ARTEMISA_GUIRA_DE_MELENA,Güira de Melena,ADM1_CUB_ARTEMISA,CT_CUB
ADM2_CUB_ARTEMISA_MARIEL,Mariel,ADM1_CUB_ARTEMISA,CT_CUB
ADM2_CUB_ARTEMISA_SAN_ANTONIO_DE_LOS_BANOS,San Antonio de los Baños,ADM1_CUB_ARTEMISA,CT_CUB
ADM2_CUB_ARTEMISA_SAN_CRISTOBAL,San Cristóbal,ADM1_CUB_ARTEMISA,CT_CUB
ADM2_CUB_CAMAGUEY_CAMAGUEY,Camagüey,ADM1_CUB_CAMAGUEY,CT_CUB
ADM2_CUB_CAMAGUEY_CARLOS_MANUEL_DE_CESPEDES,Carlos Manuel de Céspedes,ADM1_CUB_CAMAGUEY,CT_CUB
ADM2_CUB_CAMAGUEY_ESMERALDA,Esmeralda,ADM1_CUB_CAMAGUEY,CT_CUB
ADM2_CUB_CAMAGUEY_FLORIDA,Florida,ADM1_CUB_CAMAGUEY,CT_CUB
ADM2_CUB_CAMAGUEY_GUAIMARO,Guáimaro,ADM1_CUB_CAMAGUEY,CT_CUB
ADM2_CUB_CAMAGUEY_JIMAGUAYU,Jimaguayú,ADM1_CUB_CAMAGUEY,CT_CUB
ADM2_CUB_CAMAGUEY_MINAS,Minas,ADM1_CUB_CAMAGUEY,CT_CUB
ADM2_CUB_CAMAGUEY_NAJASA,Najasa,ADM1_CUB_CAMAGUEY,CT_CUB
ADM2_CUB_CAMAGUEY_NUEVITAS,Nuevitas,ADM1_CUB_CAMAGUEY,CT_CUB
ADM2_CUB_CAMAGUEY_SANTA_CRUZ_DEL_SUR,Santa Cruz del Sur,ADM1_CUB_CAMAGUEY,CT_CUB
ADM2_CUB_CAMAGUEY_SIBANICU,Sibanicú,ADM1_CUB_CAMAGUEY,CT_CUB
ADM2_CUB_CAMAGUEY_SIERRA_DE_CUBITAS,Sierra de Cubitas,ADM1_CUB_CAMAGUEY,CT_CUB
ADM2_CUB_CAMAGUEY_VERTIENTES,Vertientes,ADM1_CUB_CAMAGUEY,CT_CUB
ADM2_CUB_CIEGO_DE_AVILA_BARAGUA,Baraguá,ADM1_CUB_CIEGO_DE_AVILA,CT_CUB
ADM2_CUB_CIEGO_DE_AVILA_BOLIVIA,Bolivia,ADM1_CUB_CIEGO_DE_AVILA,CT_CUB
ADM2_CUB_CIEGO_DE_AVILA_CHAMBAS,Chambas,ADM1_CUB_CIEGO_DE_AVILA,CT_CUB
ADM2_CUB_CIEGO_DE_AVILA_CIEGO_DE_AVILA,Ciego de Ávila,ADM1_CUB_CIEGO_DE_AVILA,CT_CUB
ADM2_CUB_CIEGO_DE_AVILA_CIRO_REDONDO,Ciro Redondo,ADM1_CUB_CIEGO_DE_AVILA,CT_CUB
ADM2_CUB_CIEGO_DE_AVILA_FLORENCIA,Florencia,ADM1_CUB_CIEGO_DE_AVILA,CT_CUB
ADM2_CUB_CIEGO_DE_AVILA_MAJAGUA,Majagua,ADM1_CUB_CIEGO_DE_AVILA,CT_CUB
ADM2_CUB_CIEGO_DE_AVILA_MORON,Morón,ADM1_CUB_CIEGO_DE_AVILA,CT_CUB
ADM2_CUB_CIEGO_DE_AVILA_PRIMERO_DE_ENERO,Primero de Enero,ADM1_CUB_CIEGO_DE_AVILA,CT_CUB
ADM2_CUB_CIEGO_DE_AVILA_VENEZUELA,Venezuela,ADM1_CUB_CIEGO_DE_AVILA,CT_CUB
ADM2_CUB_CIENFUEGOS_ABREUS,Abreus,ADM1_CUB_CIENFUEGOS,CT_CUB
