admin_level_3_id,admin_level_3_name,admin_level_2_id,admin_level_1_id,country_id
ADM3_BEN_ATAKORA_KEROU_KOABAGOU,Koabagou,ADM2_BEN_ATAKORA_KEROU,ADM1_BEN_ATAKORA,CT_BEN
ADM3_BEN_ATAKORA_KEROU_KEROU,Kérou,ADM2_BEN_ATAKORA_KEROU,ADM1_BEN_ATAKORA,CT_BEN
ADM3_BEN_ATAKORA_KOUANDE_BIRNI,Birni,ADM2_BEN_ATAKORA_KOUANDE,ADM1_BEN_ATAKORA,CT_BEN
ADM3_BEN_ATAKORA_KOUANDE_CHABI_COUMA,Chabi-Couma,ADM2_BEN_ATAKORA_KOUANDE,ADM1_BEN_ATAKORA,CT_BEN
ADM3_BEN_ATAKORA_KOUANDE_FO_TANCE,Fô-Tancé,ADM2_BEN_ATAKORA_KOUANDE,ADM1_BEN_ATAKORA,CT_BEN
ADM3_BEN_ATAKORA_KOUANDE_GUILMARO,Guilmaro,ADM2_BEN_ATAKORA_KOUANDE,ADM1_BEN_ATAKORA,CT_BEN
ADM3_BEN_ATAKORA_KOUANDE_KOUANDE,Kouandé,ADM2_BEN_ATAKORA_KOUANDE,ADM1_BEN_ATAKORA,CT_BEN
ADM3_BEN_ATAKORA_KOUANDE_OROUKAYO,Oroukayo,ADM2_BEN_ATAKORA_KOUANDE,ADM1_BEN_ATAKORA,CT_BEN
ADM3_BEN_ATAKORA_MATERI_DASSARI,Dassari,ADM2_BEN_ATAKORA_MATERI,ADM1_BEN_ATAKORA,CT_BEN
ADM3_BEN_ATAKORA_MATERI_GOUANDE,Gouandé,ADM2_BEN_ATAKORA_MATERI,ADM1_BEN_ATAKORA,CT_BEN
ADM3_BEN_ATAKORA_MATERI_MATERI,Matéri,ADM2_BEN_ATAKORA_MATERI,ADM1_BEN_ATAKORA,CT_BEN
ADM3_BEN_ATAKORA_MATERI_NODI,Nodi,ADM2_BEN_ATAKORA_MATERI,ADM1_BEN_ATAKORA,CT_BEN
ADM3_BEN_ATAKORA_MATERI_TANTEGA,Tantéga,ADM2_BEN_ATAKORA_MATERI,ADM1_BEN_ATAKORA,CT_BEN
ADM3_BEN_ATAKORA_MATERI_TCHIANHOUN_COSSI,Tchianhoun-Cossi,ADM2_BEN_ATAKORA_MATERI,ADM1_BEN_ATAKORA,CT_BEN
ADM3_BEN_ATAKORA_NATITINGOU_KOTAPOUNGA,Kotapounga,ADM2_BEN_ATAKORA_NATITINGOU,ADM1_BEN_ATAKORA,CT_BEN
ADM3_BEN_ATAKORA_NATITINGOU_KOUABA,Kouaba,ADM2_BEN_ATAKORA_NATITINGOU,ADM1_BEN_ATAKORA,CT_BEN
ADM3_BEN_ATAKORA_NATITINGOU_KOUNDATA,Koundata,ADM2_BEN_ATAKORA_NATITINGOU,ADM1_BEN_ATAKORA,CT_BEN
ADM3_BEN_ATAKORA_NATITINGOU_NATITINGOU_I,Natitingou I,ADM2_BEN_ATAKORA_NATITINGOU,ADM1_BEN_ATAKORA,CT_BEN
ADM3_BEN_ATAKORA_NATITINGOU_NATITINGOU_II,Natitingou II,ADM2_BEN_ATAKORA_NATITINGOU,ADM1_BEN_ATAKORA,CT_BEN
ADM3_BEN_ATAKORA_NATITINGOU_NATITINGOU_III,Natitingou III,ADM2_BEN_ATAKORA_NATITINGOU,ADM1_BEN_ATAKORA,CT_BEN
ADM3_BEN_ATAKORA_NATITINGOU_NATITINGOU_IV,Natitingou IV,ADM2_BEN_ATAKORA_NATITINGOU,ADM1_BEN_ATAKORA,CT_BEN
ADM3_BEN_ATAKORA_NATITINGOU_PERMA,Perma,ADM2_BEN_ATAKORA_NATITINGOU,ADM1_BEN_ATAKORA,CT_BEN
ADM3_BEN_ATAKORA_NATITINGOU_TCHOUMI_TCHOUMI,Tchoumi-Tchoumi,ADM2_BEN_ATAKORA_NATITINGOU,ADM1_BEN_ATAKORA,CT_BEN
ADM3_BEN_ATAKORA_PEHUNCO_GNEMASSON,Gnémasson,ADM2_BEN_ATAKORA_PEHONKO,ADM1_BEN_ATAKORA,CT_BEN
ADM3_BEN_ATAKORA_PEHUNCO_PEHUNCO,Péhunco,ADM2_BEN_ATAKORA_PEHONKO,ADM1_BEN_ATAKORA,CT_BEN
ADM3_BEN_ATAKORA_PEHUNCO_TOBRE,Tobré,ADM2_BEN_ATAKORA_PEHONKO,ADM1_BEN_ATAKORA,CT_BEN
ADM3_BEN_ATAKORA_TANGUIETA_COTIAKOU,Cotiakou,ADM2_BEN_ATAKORA_TANGUIETA,ADM1_BEN_ATAKORA,CT_BEN
ADM3_BEN_ATAKORA_TANGUIETA_NDAHONTA,N'Dahonta,ADM2_BEN_ATAKORA_TANGUIETA,ADM1_BEN_ATAKORA,CT_BEN
ADM3_BEN_ATAKORA_TANGUIETA_TAIAKOU,Taiakou,ADM2_BEN_ATAKORA_TANGUIETA,ADM1_BEN_ATAKORA,CT_BEN
ADM3_BEN_ATAKORA_TANGUIETA_TANGUIETA,Tanguiéta,ADM2_BEN_ATAKORA_TANGUIETA,ADM1_BEN_ATAKORA,CT_BEN
ADM3_BEN_ATAKORA_TANGUIETA_TANONGOU,Tanongou,ADM2_BEN_ATAKORA_TANGUIETA,ADM1_BEN_ATAKORA,CT_BEN
ADM3_BEN_ATAKORA_TOUCOUNTOUNA_KOUARFA,Kouarfa,ADM2_BEN_ATAKORA_TOUCOUNTOUNA,ADM1_BEN_ATAKORA,CT_BEN
