THE SPECIE,RACE,CONTINENT,SUB-CONTINENT,SUB-REGION,NATIONALITY,ETHNICITY,REGION,STATE,SENATORIAL DISTRICT,FEDERAL CONSTITUENCY,LOCAL GOVERNMENT AREA,STATE CONSTITUENCY,TOWN,TOWN DIVISION,TOWN QUARTERS,CLAN,VILLAGE,HAMLET,KINDRED, UMUNNA ,EXTENDED FAMILY,GREAT GRAND FAMILY,GRAND FAMILY,FAMILY,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Source_Sheet,TOWN QUARTER,OBI AREAS,KINDRED/HAMLET,Unnamed: 20,EXT. FAMILY,Unnamed: 22,Unnamed: 23,CHAIRMAN,SECRETARY,Unnamed: 21,Unnamed: 24,QUARTERS,VILLAGES, UMUNNA (EXT. FAMILY),OKPARA
HUMANITY,NEGRO,AFRICA,SUB-SAHARA,WEST AFRICA,NIGERIA,UMU - IGBO,SOUTH EAST ,ANAMBRA ,ANAMBRA SOUTH ,IHIALA,IHIALA,IHIALA I,IHIALA,EZI,AMAMU,DIOHA,UMUNNEBOGBU,UMUAHIBAEKWE,,UMUNNEMOLISA,NWOKEDI,,,,,,,,,,,ANAMBRA,,,,,,,,,,,,,,,
HUMANITY,NEGRO,AFRICA,SUB-SAHARA,WEST AFRICA,NIGERIA,UMU - IGBO,SOUTH EAST ,ANAMBRA ,ANAMBRA SOUTH ,IHIALA,IHIALA,IHIALA I,IHIALA,EZI,AMAMU,DIOHA,UMUNNEBOGBU,UMUAHIBAEKWE,,UMUNNEMOLISA,OBIMORO,,,,,,,,,,,ANAMBRA,,,,,,,,,,,,,,,
HUMANITY,NEGRO,AFRICA,SUB-SAHARA,WEST AFRICA,NIGERIA,UMU - IGBO,SOUTH EAST ,ANAMBRA ,ANAMBRA SOUTH ,IHIALA,IHIALA,IHIALA I,IHIALA,EZI,AMAMU,DIOHA,UMUNNEBOGBU,UMUAHIBAEKWE,,UMUNNEMOLISA,ONYEKWERE,,,,,,,,,,,ANAMBRA,,,,,,,,,,,,,,,
HUMANITY,NEGRO,AFRICA,SUB-SAHARA,WEST AFRICA,NIGERIA,UMU - IGBO,SOUTH EAST ,ANAMBRA ,ANAMBRA SOUTH ,IHIALA,IHIALA,IHIALA I,IHIALA,EZI,AMAMU,DIOHA,UMUNNEBOGBU,UMUAHIBAEKWE,,UMUNNEMOLISA,AGUBOSI,IHENATUOHA,THOMAS,,,,,,,,,ANAMBRA,,,,,,,,,,,,,,,
HUMANITY,NEGRO,AFRICA,SUB-SAHARA,WEST AFRICA,NIGERIA,UMU - IGBO,SOUTH EAST ,ANAMBRA ,ANAMBRA SOUTH ,IHIALA,IHIALA,IHIALA I,IHIALA,EZI,AMAMU,DIOHA,UMUNNEBOGBU,UMUAHIBAEKWE,,UMUNNEMOLISA,AGUBOSI,IHENATUOHA,OKAFOR,"EMMANUEL 
NONYE","GINIKACHUKWU
NELSON",MUNACHI,,,,,,ANAMBRA,,,,,,,,,,,,,,,
HUMANITY,NEGRO,AFRICA,SUB-SAHARA,WEST AFRICA,NIGERIA,UMU - IGBO,SOUTH EAST ,ANAMBRA ,ANAMBRA SOUTH ,IHIALA,IHIALA,IHIALA I,IHIALA,EZI,AMAMU,DIOHA,UMUNNEBOGBU,UMUAHIBAEKWE,,UMUNNEMOLISA,AGUBOSI,IHENATUOHA,OKAFOR,"EMMANUEL 
NONYE","GINIKACHUKWU
NELSON",KAMSI,,,,,,ANAMBRA,,,,,,,,,,,,,,,
HUMANITY,NEGRO,AFRICA,SUB-SAHARA,WEST AFRICA,NIGERIA,UMU - IGBO,SOUTH EAST ,ANAMBRA ,ANAMBRA SOUTH ,IHIALA,IHIALA,IHIALA I,IHIALA,EZI,AMAMU,DIOHA,UMUNNEBOGBU,UMUAHIBAEKWE,,UMUNNEMOLISA,AGUBOSI,IHENATUOHA,OKAFOR,"EMMANUEL 
NONYE","GINIKACHUKWU
NELSON",CHIEMELIE,,,,,,ANAMBRA,,,,,,,,,,,,,,,
HUMANITY,NEGRO,AFRICA,SUB-SAHARA,WEST AFRICA,NIGERIA,UMU - IGBO,SOUTH EAST ,ANAMBRA ,ANAMBRA SOUTH ,IHIALA,IHIALA,IHIALA I,IHIALA,EZI,AMAMU,DIOHA,UMUNNEBOGBU,UMUAHIBAEKWE,,UMUNNEMOLISA,AGUBOSI,IHENATUOHA,OKAFOR,"EMMANUEL 
NONYE",ODERA HENRY,SOMTOCHUKWU,,,,,,ANAMBRA,,,,,,,,,,,,,,,
HUMANITY,NEGRO,AFRICA,SUB-SAHARA,WEST AFRICA,NIGERIA,UMU - IGBO,SOUTH EAST ,ANAMBRA ,ANAMBRA SOUTH ,IHIALA,IHIALA,IHIALA I,IHIALA,EZI,AMAMU,DIOHA,UMUNNEBOGBU,UMUAHIBAEKWE,,UMUNNEMOLISA,AGUBOSI,IHENATUOHA,OKAFOR,"EMMANUEL 
NONYE",LARRY IFECHUKWU,,,,,,,ANAMBRA,,,,,,,,,,,,,,,
HUMANITY,NEGRO,AFRICA,SUB-SAHARA,WEST AFRICA,NIGERIA,UMU - IGBO,SOUTH EAST ,ANAMBRA ,ANAMBRA SOUTH ,IHIALA,IHIALA,IHIALA I,IHIALA,EZI,AMAMU,DIOHA,UMUNNEBOGBU,UMUAHIBAEKWE,,UMUNNEMOLISA,AGUBOSI,IHENATUOHA,OKAFOR,"EMMANUEL 
NONYE",NZUBE ISIDORE,GODSWILL,,,,,,ANAMBRA,,,,,,,,,,,,,,,
HUMANITY,NEGRO,AFRICA,SUB-SAHARA,WEST AFRICA,NIGERIA,UMU - IGBO,SOUTH EAST ,ANAMBRA ,ANAMBRA SOUTH ,IHIALA,IHIALA,IHIALA I,IHIALA,EZI,AMAMU,DIOHA,UMUNNEBOGBU,UMUAHIBAEKWE,,UMUNNEMOLISA,AGUBOSI,IHENATUOHA,OKAFOR,GREGORY OBI,,,,,,,,ANAMBRA,,,,,,,,,,,,,,,
HUMANITY,NEGRO,AFRICA,SUB-SAHARA,WEST AFRICA,NIGERIA,UMU - IGBO,SOUTH EAST ,ANAMBRA ,ANAMBRA SOUTH ,IHIALA,IHIALA,IHIALA I,IHIALA,EZI,AMAMU,DIOHA,UMUNNEBOGBU,UMUAHIBAEKWE,,UMUNNEMOLISA,AGUBOSI,IHENATUOHA,OKAFOR,PATRICK CHUKWUNYERE,,,,,,,,ANAMBRA,,,,,,,,,,,,,,,
HUMANITY,NEGRO,AFRICA,SUB-SAHARA,WEST AFRICA,NIGERIA,UMU - IGBO,SOUTH EAST ,ANAMBRA ,ANAMBRA SOUTH ,IHIALA,IHIALA,IHIALA I,IHIALA,EZI,AMAMU,DIOHA,UMUNNEBOGBU,UMUAHIBAEKWE,,UMUNNEMOLISA,AGUBOSI,IKENEJERE,,,,,,,,,,ANAMBRA,,,,,,,,,,,,,,,
HUMANITY,NEGRO,AFRICA,SUB-SAHARA,WEST AFRICA,NIGERIA,UMU - IGBO,SOUTH EAST ,ANAMBRA ,ANAMBRA SOUTH ,IHIALA,IHIALA,IHIALA I,IHIALA,EZI,AMAMU,DIOHA,UMUNNEBOGBU,UMUAHIBAEKWE,,UMUNNEMOLISA,AGUBOSI,ABAZU,,,,,,,,,,ANAMBRA,,,,,,,,,,,,,,,
HUMANITY,NEGRO,AFRICA,SUB-SAHARA,WEST AFRICA,NIGERIA,UMU - IGBO,SOUTH EAST ,ANAMBRA ,ANAMBRA SOUTH ,IHIALA,IHIALA,IHIALA I,IHIALA,EZI,AMAMU,DIOHA,UMUNNEBOGBU,UMUAHIBAEKWE,,UMUNNEMOLISA,UKOHA,,,,,,,,,,,ANAMBRA,,,,,,,,,,,,,,,
